family,tf,pair,params,horizon_bars,N,MEAN,MEDIAN,WIN,STD,MEAN_LOW,MEAN_NORMAL,MEAN_STRESS,MEAN_EX99,MEAN_LONG,MEAN_SHORT,N_LONG,N_SHORT,YEARS_POS_NORMAL,N_YEARS
F1_tsmom,H1,EURUSD,"{""lookback"": 24}",4,4645,0.5799138858987885,-0.2999999999997449,0.49386437029063507,33.249651536469244,-0.42008611410121155,-1.4200861141012115,-2.9200861141012115,-0.74125706829059,0.7742894056846938,0.38562204046492193,2322,2323,0,9
F1_tsmom,H1,EURUSD,"{""lookback"": 24}",12,4643,1.085203532199002,0.10000000000065512,0.5009692009476632,52.84194530323547,0.0852035321990019,-0.9147964678009981,-2.414796467800998,-0.8056788511749423,1.9047824213700901,0.2659776055124835,2321,2322,3,9
F1_tsmom,H1,EURUSD,"{""lookback"": 24}",24,4641,0.7995044171514576,0.40000000000040004,0.5035552682611506,73.23951459150433,-0.2004955828485424,-1.2004955828485424,-2.7004955828485424,-1.5135829342621019,1.7213362068965163,-0.12193020249892444,2320,2321,1,9
F1_tsmom,H1,EURUSD,"{""lookback"": 24}",48,4640,0.5857543103448175,0.5000000000010552,0.5015086206896552,104.18657519376342,-0.4142456896551825,-1.4142456896551825,-2.9142456896551825,-2.8155018506422906,-0.6215948275862608,1.7931034482758959,2320,2320,2,9
F1_tsmom,H1,EURUSD,"{""lookback"": 48}",4,3251,0.05856659489388013,-0.5000000000010552,0.48661950169178714,31.312927037691544,-0.9414334051061198,-1.94143340510612,-3.4414334051061197,-1.2285891858297069,0.9647566235366573,-0.8448402948402893,1623,1628,1,9
F1_tsmom,H1,EURUSD,"{""lookback"": 48}",12,3251,0.2719778529683223,0.20000000000131024,0.5010765918179022,51.77569182298228,-0.7280221470316777,-1.7280221470316777,-3.2280221470316777,-1.615661901802359,0.34966112138016076,0.1945331695331781,1623,1628,1,9
F1_tsmom,H1,EURUSD,"{""lookback"": 48}",24,3251,-0.455552137803745,0.2999999999997449,0.5023069824669333,74.98814828877738,-1.455552137803745,-2.455552137803745,-3.955552137803745,-2.825388440024851,-1.1780653111521944,0.26474201474203735,1623,1628,1,9
F1_tsmom,H1,EURUSD,"{""lookback"": 48}",48,3251,-0.07643801907104382,0.0,0.49953860350661333,108.70066058132342,-1.0764380190710439,-2.076438019071044,-3.576438019071044,-3.5764449968924685,-3.4683302526186033,3.3050368550368736,1623,1628,2,9
F1_tsmom,H1,EURUSD,"{""lookback"": 96}",4,2228,0.4201526032316286,-0.2999999999997449,0.49012567324955114,33.69319500772407,-0.5798473967683714,-1.5798473967683715,-3.0798473967683715,-1.0786394557822838,0.8900448430493575,-0.05058400718774896,1115,1113,1,9
F1_tsmom,H1,EURUSD,"{""lookback"": 96}",12,2228,0.8300269299820745,0.900000000000345,0.507181328545781,53.62071969994268,-0.1699730700179255,-1.1699730700179254,-2.6699730700179254,-1.1485714285713964,-0.021883408071722656,1.6834681042228516,1115,1113,2,9
F1_tsmom,H1,EURUSD,"{""lookback"": 96}",24,2228,-0.6008527827647936,-0.4499999999996174,0.49775583482944347,74.57131745375882,-1.6008527827647936,-2.6008527827647936,-4.100852782764793,-3.0765079365079195,-5.104035874439473,3.9104222821204413,1115,1113,0,9
F1_tsmom,H1,EURUSD,"{""lookback"": 96}",48,2221,0.36109860423233037,-0.9999999999998899,0.49662314272850067,106.03332630735271,-0.6389013957676697,-1.6389013957676697,-3.1389013957676695,-3.0792538671519574,-5.013321332133222,5.7403603603603734,1111,1110,2,9
F1_tsmom,H1,EURUSD,"{""lookback"": 192}",4,1635,0.8773700305810322,-0.6999999999979245,0.4892966360856269,32.670343180878646,-0.12262996941896775,-1.1226299694189676,-2.6226299694189676,-0.48238566131026606,0.8713586291309764,0.8833740831295598,817,818,2,9
F1_tsmom,H1,EURUSD,"{""lookback"": 192}",12,1635,-0.2525382262996827,-1.4999999999987246,0.4868501529051988,50.48712572037062,-1.2525382262996827,-2.2525382262996825,-3.7525382262996825,-2.0967243510506735,-0.9401468788249485,0.4342298288508583,817,818,1,9
F1_tsmom,H1,EURUSD,"{""lookback"": 192}",24,1635,0.8179204892966231,1.80000000000069,0.5070336391437309,75.10850741103748,-0.1820795107033769,-1.1820795107033768,-2.682079510703377,-1.7087144622991497,-0.4331701346388988,2.0674816625916375,817,818,3,9
F1_tsmom,H1,EURUSD,"{""lookback"": 192}",48,1635,0.8549235474006065,0.5999999999994898,0.5027522935779817,101.86372760282063,-0.1450764525993935,-1.1450764525993935,-2.6450764525993935,-2.2572311495673736,1.691921664626687,0.018948655256709263,817,818,2,9
F2_donchian,H1,EURUSD,"{""lookback"": 20}",4,4027,-0.8178048174820102,-1.7000000000000348,0.4631239135833126,34.51200851288276,-1.8178048174820103,-2.8178048174820103,-4.31780481748201,-2.166658304064241,-0.860072127769227,-0.7784755512943359,1941,2086,0,9
F2_donchian,H1,EURUSD,"{""lookback"": 20}",12,4027,-2.090936180779748,-2.100000000000435,0.4740501614104793,53.35573815096204,-3.090936180779748,-4.090936180779748,-5.590936180779748,-3.9488459608630326,-3.0415765069551766,-1.2063758389261985,1941,2086,1,9
F2_donchian,H1,EURUSD,"{""lookback"": 20}",24,4026,-2.119970193740691,-1.0499999999991072,0.49230004967709884,73.18009109566137,-3.119970193740691,-4.119970193740691,-5.619970193740691,-4.447728983688834,-4.708552292632673,0.28983213429256366,1941,2085,1,9
F2_donchian,H1,EURUSD,"{""lookback"": 20}",48,4025,-0.7376149068323181,0.40000000000040004,0.5013664596273292,103.3509592678571,-1.7376149068323181,-2.7376149068323183,-4.237614906832318,-4.001004016064276,-5.660515463917549,3.842925659472405,1940,2085,3,9
F2_donchian,H1,EURUSD,"{""lookback"": 40}",4,2797,-0.9942438326778769,-1.4999999999987246,0.4654987486592778,34.97048457777404,-1.9942438326778769,-2.994243832677877,-4.494243832677877,-2.3448898519321157,-1.190566037735858,-0.8175271739130501,1325,1472,0,9
F2_donchian,H1,EURUSD,"{""lookback"": 40}",12,2797,-2.4184483375044823,-2.2999999999995246,0.4726492670718627,54.12595741525455,-3.4184483375044823,-4.418448337504483,-5.918448337504483,-4.247237269772496,-4.128981132075462,-0.8787364130435122,1325,1472,1,9
