EVENT_DATE,YEAR,RELEASE_TS,EURUSD_INITIAL_30M,EURUSD_CONT_30_120_GROSS,USDJPY_INITIAL_30M,USDJPY_CONT_30_120_GROSS,GBPUSD_INITIAL_30M,GBPUSD_CONT_30_120_GROSS,EURUSD_NET_NORMAL,EURUSD_NET_STRESS,USDJPY_NET_NORMAL,USDJPY_NET_STRESS,GBPUSD_NET_NORMAL,GBPUSD_NET_STRESS,POOLED_GROSS,POOLED_NET_NORMAL,POOLED_NET_STRESS
2019-01-30,2019,2019-01-30 19:00:00+00:00,53.10000000000148,9.699999999999154,-40.500000000000114,-17.600000000000193,50.69999999999908,-7.599999999998719,7.699999999999154,5.699999999999154,15.600000000000193,13.600000000000193,-9.599999999998719,-11.599999999998719,-5.166666666666586,4.566666666666876,2.566666666666876
2019-03-20,2019,2019-03-20 18:00:00+00:00,68.69999999999932,7.900000000000684,-70.49999999999983,-20.700000000000784,65.60000000000122,-36.599999999999966,5.900000000000684,3.9000000000006843,18.700000000000784,16.700000000000784,-38.599999999999966,-40.599999999999966,-16.466666666666686,-4.666666666666166,-6.666666666666166
2019-05-01,2019,2019-05-01 18:00:00+00:00,12.500000000001954,-63.00000000000194,-4.5000000000001705,34.900000000000375,8.20000000000043,-48.400000000001775,-65.00000000000193,-67.00000000000193,-36.900000000000375,-38.900000000000375,-50.400000000001775,-52.400000000001775,-25.500000000001112,-50.76666666666802,-52.76666666666802
2019-06-19,2019,2019-06-19 18:00:00+00:00,23.500000000000743,-12.600000000000389,-33.70000000000033,6.000000000000227,23.100000000000342,-8.500000000000174,-14.600000000000389,-16.60000000000039,-8.000000000000227,-10.000000000000227,-10.500000000000174,-12.500000000000174,-5.033333333333445,-11.033333333333596,-13.033333333333596
2019-07-31,2019,2019-07-31 18:00:00+00:00,-26.199999999998447,-41.29999999999967,18.499999999998806,7.1000000000012164,-41.49999999999876,-33.40000000000121,39.29999999999967,37.29999999999967,5.1000000000012164,3.1000000000012164,31.400000000001207,29.400000000001207,-22.533333333333218,25.266666666667362,23.266666666667362
2019-09-18,2019,2019-09-18 18:00:00+00:00,-28.600000000000847,-1.2999999999996348,13.700000000000045,17.500000000001137,-12.199999999999989,14.299999999998203,-0.7000000000003652,-2.700000000000365,15.500000000001137,13.500000000001137,-16.299999999998203,-18.299999999998203,10.166666666666568,-0.4999999999991438,-2.499999999999144
2019-10-30,2019,2019-10-30 18:00:00+00:00,0.5000000000010552,27.199999999998337,8.599999999999852,-11.200000000000898,14.600000000000168,19.800000000000928,25.199999999998337,23.199999999998337,-13.200000000000898,-15.200000000000898,17.800000000000928,15.800000000000928,11.933333333332788,9.933333333332788,7.933333333332789
2019-12-11,2019,2019-12-11 19:00:00+00:00,11.200000000000099,29.90000000000048,-5.5999999999997385,-7.9999999999998295,9.500000000000064,22.800000000000598,27.90000000000048,25.90000000000048,5.9999999999998295,3.9999999999998295,20.800000000000598,18.800000000000598,14.900000000000418,18.233333333333636,16.233333333333636
2020-01-29,2020,2020-01-29 19:00:00+00:00,5.60000000000116,-0.2999999999997449,0.49999999999954525,-13.700000000000045,11.300000000000754,-6.599999999998829,-2.299999999999745,-4.299999999999745,-15.700000000000045,-17.700000000000045,-8.599999999998829,-10.599999999998829,-6.866666666666206,-8.866666666666207,-10.866666666666205
2020-03-15,2020,2020-03-15 21:00:00+00:00,4.300000000001525,-58.400000000000674,38.59999999999957,45.90000000000032,-43.69999999999985,-43.20000000000101,-60.400000000000674,-62.400000000000674,43.90000000000032,41.90000000000032,41.20000000000101,39.20000000000101,-18.56666666666712,8.233333333333553,6.233333333333552
2020-04-29,2020,2020-04-29 18:00:00+00:00,14.300000000000423,-2.6999999999999247,-12.999999999999545,2.7999999999991587,17.500000000001403,-1.7000000000000348,-4.699999999999925,-6.699999999999925,-4.799999999999159,-6.799999999999159,-3.700000000000035,-5.700000000000035,-0.5333333333336002,-4.399999999999706,-6.399999999999706
2020-06-10,2020,2020-06-10 18:00:00+00:00,43.10000000000036,-21.299999999999653,-16.100000000000136,5.500000000000682,34.40000000000109,-45.20000000000079,-23.299999999999653,-25.299999999999653,-7.500000000000682,-9.500000000000682,-47.20000000000079,-49.20000000000079,-20.333333333333254,-26.000000000000373,-28.00000000000038
2020-07-29,2020,2020-07-29 18:00:00+00:00,-1.2999999999996348,-7.999999999999119,-4.799999999998761,11.7999999999995,5.60000000000116,-8.40000000000174,5.999999999999119,3.999999999999119,-13.7999999999995,-15.7999999999995,-10.40000000000174,-12.40000000000174,-1.5333333333337862,-6.066666666667373,-8.066666666667373
2020-09-16,2020,2020-09-16 18:00:00+00:00,-5.299999999999194,-22.800000000000598,-4.999999999999716,8.400000000000318,-1.6000000000016001,-9.199999999998099,20.800000000000598,18.800000000000598,-10.400000000000318,-12.400000000000318,7.199999999998099,5.199999999998099,-7.866666666666126,5.866666666666126,3.866666666666126
2020-11-05,2020,2020-11-05 19:00:00+00:00,16.199999999999548,-1.0999999999983245,-5.60000000000116,-6.799999999999784,18.399999999998418,19.700000000000273,-3.0999999999983245,-5.0999999999983245,4.799999999999784,2.799999999999784,17.700000000000273,15.700000000000273,3.9333333333340548,6.466666666667244,4.466666666667244
2020-12-16,2020,2020-12-16 19:00:00+00:00,-31.200000000000117,42.800000000000615,17.900000000000205,-31.499999999999773,-31.199999999997896,29.599999999998516,-44.800000000000615,-46.800000000000615,-33.49999999999977,-35.49999999999977,-31.599999999998516,-33.599999999998516,13.63333333333312,-36.63333333333296,-38.63333333333296
2021-01-27,2021,2021-01-27 19:00:00+00:00,-12.499999999999734,-2.2999999999995246,4.000000000000625,6.300000000000239,-14.300000000000423,-25.699999999999612,0.29999999999952465,-1.7000000000004754,4.300000000000239,2.3000000000002387,23.699999999999612,21.699999999999612,-7.233333333332966,9.433333333333126,7.433333333333125
2021-03-17,2021,2021-03-17 18:00:00+00:00,48.799999999999955,19.299999999999873,-25.600000000000023,-10.699999999999932,55.899999999999835,48.599999999998644,17.299999999999873,15.299999999999873,8.699999999999932,6.699999999999932,46.599999999998644,44.599999999998644,19.066666666666194,24.19999999999948,22.19999999999948
2021-04-28,2021,2021-04-28 18:00:00+00:00,17.300000000000093,27.800000000000047,-4.300000000000637,-25.399999999999068,16.300000000000203,28.199999999998226,25.800000000000047,23.800000000000047,23.399999999999068,21.399999999999068,26.199999999998226,24.199999999998226,10.199999999999735,25.133333333332445,23.133333333332445
2021-06-16,2021,2021-06-16 18:00:00+00:00,-69.79999999999986,-39.400000000000546,37.19999999999999,29.20000000000016,-73.79999999999941,-30.09999999999957,37.400000000000546,35.400000000000546,27.20000000000016,25.20000000000016,28.09999999999957,26.09999999999957,-13.433333333333318,30.90000000000009,28.90000000000009
2021-07-28,2021,2021-07-28 18:00:00+00:00,2.500000000000835,32.49999999999975,-2.7999999999991587,-19.299999999999784,7.300000000001194,21.400000000000308,30.49999999999975,28.49999999999975,17.299999999999784,15.299999999999784,19.400000000000308,17.400000000000308,11.533333333333426,22.39999999999995,20.39999999999995
2021-09-22,2021,2021-09-22 18:00:00+00:00,18.299999999999983,-51.600000000000534,0.30000000000001137,17.499999999999716,26.800000000000157,-58.100000000000925,-53.600000000000534,-55.600000000000534,15.499999999999716,13.499999999999716,-60.100000000000925,-62.100000000000925,-30.733333333333917,-32.73333333333392,-34.73333333333392
2021-11-03,2021,2021-11-03 18:00:00+00:00,-0.1999999999990898,25.200000000000777,16.30000000000109,-12.300000000000466,-1.40000000000029,25.700000000001832,-27.200000000000777,-29.200000000000777,-14.300000000000466,-16.300000000000466,-27.700000000001832,-29.700000000001832,12.86666666666738,-23.06666666666769,-25.06666666666769
2021-12-15,2021,2021-12-15 19:00:00+00:00,-27.69999999999939,56.499999999999325,29.20000000000016,-14.400000000000546,-22.400000000000198,67.70000000000165,-58.499999999999325,-60.499999999999325,-16.400000000000546,-18.400000000000546,-69.70000000000165,-71.70000000000165,36.60000000000014,-48.2000000000005,-50.2000000000005
