sig_i,entry_i,exit_i,year,close_hour_utc,atr14_pips,atr_pctile,prior_day_range_pips,dayopen_below_pdh_pips,travelled_dayopen_to_close_pips,close_above_pdh_pips,high_above_pdh_pips,gap_vs_prevclose_pips,sig_range_atr,bars_into_day,ema20_dist_pips,sig_body_ratio,sig_close_loc,session,ret_1d_pips,ret_3d_pips,ret_5d_pips,consec_higher_high_days,her24,mfe_r,mae_r,time_to_05r_bars,time_to_1r_bars,time_to_2r_bars,net_r,net_pips,stop_pips,reason,duration_bars
31,32,36,2020,8,3.612374417567404,,18.39999999999975,3.700000000000614,6.200000000001182,2.5000000000005684,4.099999999999682,-0.10000000000047748,2.9620406865812594,7,9.632919575138033,0.6822429906542801,0.8504672897197081,London,-17.900000000000205,-17.900000000000205,-17.900000000000205,0,0.49196141479102673,1.9101010034964108,-1.0796223063240582,0.0,1.0,,-0.9999999999998385,-3.6123744175668207,3.612374417567404,stop,5
111,112,117,2020,16,10.632572978770819,,59.199999999999875,9.199999999999875,19.299999999999784,10.099999999999909,12.400000000000944,0.0,2.0126831052772904,15,19.41362568916105,0.8504672897195753,0.8925233644859323,NYpm,-41.70000000000016,-54.80000000000018,-72.70000000000039,0,0.26810912511759866,0.12226579611502555,-2.4923412284976005,,,,-1.0000000000000413,-10.63257297877126,10.632572978770819,stop,6
130,131,179,2020,11,17.30753317273463,,80.1000000000002,63.30000000000098,68.20000000000022,4.899999999999238,13.400000000000034,0.0,1.9586846757228307,10,28.326837135251992,0.6814159292035264,0.7492625368731318,London,104.1000000000011,99.00000000000091,31.400000000000716,1,0.1267336202773816,5.592940312978428,-0.42755948673602984,1.0,5.0,5.0,5.408049724119657,93.59999999999931,17.30753317273463,time,49
200,201,223,2020,9,5.74005170005909,,25.69999999999908,13.799999999999102,13.700000000000045,-0.0999999999990564,0.9000000000000341,10.000000000000853,1.4285585615744454,8,10.5006408240925,0.743902439024534,0.8780487804879064,London,55.90000000000117,97.2999999999999,159.70000000000084,4,0.1542699724517881,8.919780286904555,-0.3310074715844435,0.0,0.0,0.0,4.938385842286728,28.34659004956567,5.74005170005909,stop,23
272,273,273,2020,9,6.28128727422798,0.13127413127413126,21.300000000000807,11.599999999999966,15.200000000000102,3.6000000000001364,6.599999999998829,0.20000000000095497,1.8785958172005137,8,9.943030147263698,0.5508474576272432,0.7457627118645068,London,29.700000000001125,17.00000000000017,68.40000000000117,0,0.18654434250763396,-0.12736242828494165,-1.512428835882042,,,,-1.0000000000000735,-6.281287274228442,6.28128727422798,stop,1
288,289,289,2020,1,7.029356859452471,0.23636363636363636,36.299999999999955,5.700000000000216,8.199999999999363,2.4999999999991473,5.400000000000205,-0.10000000000047748,1.9347431453437858,0,16.67324164106674,0.6029411764704976,0.7867647058822907,Asia,-7.800000000000296,25.0,65.10000000000105,1,0.5943562610229008,-0.113808420314269,-1.6786741996363268,,,,-0.9999999999999577,-7.029356859452173,7.029356859452471,stop,1
447,448,463,2020,16,11.728537338626746,0.8709677419354839,34.39999999999941,20.600000000000307,21.20000000000033,0.6000000000000227,6.60000000000025,-0.10000000000047748,1.6711376222036816,15,14.843472167434868,0.6632653061224327,0.6938775510203934,NYpm,20.300000000000296,-43.09999999999974,-103.90000000000015,0,0.170588235294119,0.9719882088328005,-1.0060930582654495,6.0,,,-0.9999999999999903,-11.728537338626632,11.728537338626746,stop,16
504,505,513,2020,1,12.610574588189316,0.9164969450101833,46.30000000000081,15.600000000000591,16.200000000000614,0.6000000000000227,2.39999999999867,0.0,1.4353033538179658,0,17.04086960829585,0.8950276243094392,0.9005524861879186,Asia,-58.19999999999936,-82.69999999999982,-95.8999999999989,0,0.0558842866535221,0.6026688115478316,-1.078459978559337,0.0,,,-0.9999999999999472,-12.61057458818865,12.610574588189316,stop,9
557,558,606,2020,6,11.188303331816138,0.7757352941176471,43.200000000000216,17.900000000000205,19.499999999999318,1.5999999999991132,5.5999999999997385,0.0,1.188741456640561,5,15.57973250830571,0.5789473684210582,0.6992481203006948,Asia,82.3999999999998,55.29999999999973,30.799999999999272,0,0.23151909017060196,10.341156882204418,-0.30388879342684727,0.0,1.0,2.0,9.635062332771211,107.80000000000032,11.188303331816138,time,49
674,675,685,2020,3,7.469126366394509,0.2556732223903177,27.200000000000557,11.400000000000432,11.299999999999955,-0.10000000000047748,2.1000000000000796,-0.30000000000001137,0.8836374799729352,2,10.104217082775335,0.4393939393938676,0.6666666666665949,Asia,7.600000000000762,-11.999999999999034,40.00000000000057,0,0.05422446406051833,0.8166952466415254,-1.8074402999446402,3.0,,,-1.000000000000071,-7.46912636639504,7.469126366394509,stop,11
704,705,705,2020,9,7.672254708523026,0.3053545586107091,23.700000000000898,12.100000000000932,26.500000000000057,14.399999999999125,17.099999999999227,-0.20000000000095497,3.4670381798520657,8,24.372690752859683,0.8533834586466061,0.8984962406014966,London,2.7000000000001023,17.100000000000648,5.100000000000193,1,0.24675324675325036,-0.026067956239429334,-2.0202666085604966,,,,-0.999999999999931,-7.672254708522496,7.672254708523026,stop,1
782,783,789,2020,15,4.6584071359555566,0.0494148244473342,21.400000000001285,11.899999999999977,12.299999999999045,0.39999999999906777,1.8999999999991246,6.400000000000716,1.4597264261241805,14,7.366158745111306,0.661764705882399,0.779411764705867,Overlap,10.699999999999932,-3.4000000000006025,6.9000000000002615,0,0.3787575150300496,0.772796343241962,-1.4167932959441563,0.0,,,-1.0000000000001117,-4.658407135956077,4.6584071359555566,stop,7
816,817,840,2020,1,6.527109609134511,0.1780821917808219,29.000000000000625,2.599999999999625,-0.9000000000000341,-3.499999999999659,0.30000000000001137,0.10000000000047748,0.7966772907756005,0,7.19804840341709,-0.1730769230769073,0.26923076923092687,Asia,127.7000000000001,146.80000000000035,132.69999999999982,0,0.18632075471698284,25.600918324727893,-0.8732808764270209,0.0,1.0,1.0,18.325210316348237,119.61065634524746,6.527109609134511,stop,24
847,848,871,2020,8,16.330230250898502,0.9724220623501199,172.79999999999944,39.30000000000007,48.800000000001376,9.500000000001307,26.10000000000099,0.0999999999990564,2.0881518188100627,7,52.07093403694216,0.41348973607038697,0.5131964809384374,London,77.40000000000009,213.5000000000005,220.00000000000028,1,0.6099649669131947,3.239390944722842,-0.4898889897502262,1.0,1.0,2.0,0.5851014893886031,9.554842041859535,16.330230250898502,stop,24
