status,dir,orig_entry_time,orig_exit_time,orig_dir,t_stop_ns,stop_confirmed,entry_ts_ns,entry_ref_px,entry_fill_px,sl,tp,risk_pips,exit_type,exit_ts_ns,exit_px,net_pips,r,be_moved
TRADE,1,2010-01-19 09:15:00,2010-01-19 11:00:00,-1,,,1263885305797000000,1.44035,1.44035,1.4383800000000002,1.4452749999999996,19.7,STOP,1263892572788000000,1.43838,-19.7,-1.0,False
TRADE,-1,2010-02-16 11:30:00,2010-02-16 13:30:00,1,,,1266312606254000000,1.36573,1.36573,1.3680400000000001,1.359955,23.1,STOP,1266334362530000000,1.36806,-23.3,-1.00866,False
TRADE,1,2010-03-10 08:00:00,2010-03-10 12:30:00,-1,,,1268200806701000000,1.35988,1.35988,1.35774,1.36523,21.4,STOP,1268204558596000000,1.35772,-21.6,-1.00935,False
TRADE,-1,2010-03-11 09:30:00,2010-03-11 14:30:00,1,,,1268292608035000000,1.36246,1.36246,1.36437,1.3576849999999998,19.1,STOP,1268296414922000000,1.36441,-19.5,-1.02094,False
TRADE,1,2010-03-16 08:00:00,2010-03-16 11:00:00,-1,,,1268719205115000000,1.36926,1.36926,1.3674799999999998,1.3737100000000002,17.8,STOP,1268723617164000000,1.36746,-18.0,-1.01124,False
TRADE,1,2010-04-05 08:00:00,2010-04-05 15:00:00,-1,,,1270443611884000000,1.35064,1.35064,1.3487,1.35549,19.4,STOP,1270447568700000000,1.34853,-21.1,-1.08763,False
TRADE,-1,2010-09-01 10:00:00,2010-09-01 11:15:00,1,,,1283324407915000000,1.27175,1.27175,1.27386,1.2664749999999998,21.1,STOP,1283328989993000000,1.27389,-21.4,-1.01422,False
TRADE,-1,2010-09-06 15:00:00,2010-09-07 01:00:00,1,,,1283774407020000000,1.2873,1.2873,1.2893200000000002,1.28225,20.2,STOP,1283789486819000000,1.28934,-20.4,-1.0099,False
TRADE,-1,2010-09-20 08:45:00,2010-09-20 13:45:00,1,,,1284961506546000000,1.30712,1.30712,1.30912,1.30212,20.0,STOP,1284965131256000000,1.30916,-20.4,-1.02,False
TRADE,1,2010-12-22 09:00:00,2010-12-22 09:00:00,-1,,,1293001205142000000,1.31428,1.31428,1.31249,1.318755,17.9,STOP,1293009561409000000,1.31249,-17.9,-1.0,False
TRADE,-1,2010-12-27 15:00:00,2010-12-27 19:00:00,1,,,1293454805161000000,1.31379,1.31379,1.31606,1.308115,22.7,STOP,1293484207058000000,1.31606,-22.7,-1.0,False
TRADE,-1,2011-03-08 08:30:00,2011-03-08 08:30:00,1,,,1299565810408000000,1.39757,1.39757,1.39963,1.39242,20.6,TARGET,1299573332897000000,1.39242,51.5,2.5,False
TRADE,1,2011-03-23 10:15:00,2011-03-23 11:15:00,-1,,,1300868105256000000,1.41868,1.41868,1.41641,1.4243549999999998,22.7,STOP,1300879081311000000,1.4164,-22.8,-1.00441,False
TRADE,1,2011-04-05 08:15:00,2011-04-05 15:00:00,-1,,,1301980507196000000,1.4197,1.4197,1.41818,1.4234999999999998,15.2,STOP,1301984450679000000,1.41817,-15.3,-1.00658,False
TRADE,-1,2011-08-23 08:30:00,2011-08-23 09:45:00,1,,,1314077415694000000,1.43744,1.43744,1.43993,1.4312150000000003,24.9,STOP,1314080827292000000,1.43993,-24.9,-1.0,False
TRADE,-1,2011-12-08 08:15:00,2011-12-08 10:00:00,1,,,1323324905540000000,1.33993,1.33993,1.34166,1.3356050000000002,17.3,STOP,1323328486407000000,1.3417,-17.7,-1.02312,False
TRADE,1,2011-12-19 08:45:00,2011-12-19 09:00:00,-1,,,1324277107417000000,1.30106,1.30106,1.2991000000000001,1.30596,19.6,STOP,1324328047740000000,1.2991,-19.6,-1.0,False
TRADE,1,2012-03-07 08:00:00,2012-03-07 11:15:00,-1,,,1331100005742000000,1.31466,1.31466,1.3131,1.31856,15.6,STOP,1331106017410000000,1.3131,-15.6,-1.0,False
TRADE,-1,2012-03-08 09:00:00,2012-03-08 10:30:00,1,,,1331190005487000000,1.31683,1.31683,1.3183599999999998,1.3130050000000004,15.3,STOP,1331194196467000000,1.3184,-15.7,-1.02614,False
TRADE,-1,2012-03-08 10:15:00,2012-03-08 13:15:00,1,,,1331194506186000000,1.31807,1.31807,1.32048,1.312045,24.1,STOP,1331199256650000000,1.3205,-24.3,-1.0083,False
TRADE,-1,2012-03-29 08:15:00,2012-03-29 11:00:00,1,,,1332998108524000000,1.33187,1.33187,1.33392,1.3267450000000003,20.5,STOP,1333001881432000000,1.33392,-20.5,-1.0,False
TRADE,-1,2012-04-03 08:15:00,2012-04-03 13:15:00,1,,,1333430105278000000,1.33342,1.33342,1.3353700000000002,1.3285449999999996,19.5,STOP,1333437702023000000,1.33538,-19.6,-1.00513,False
TRADE,-1,2012-04-03 11:15:00,2012-04-03 13:00:00,1,,,1333440905566000000,1.33428,1.33428,1.3360699999999999,1.329805,17.9,STOP,1333445718143000000,1.33607,-17.9,-1.0,False
TRADE,1,2012-04-09 15:15:00,2012-04-09 16:30:00,-1,,,1333973705529000000,1.30743,1.30743,1.3054500000000002,1.3123799999999997,19.8,STOP,1333977379142000000,1.30545,-19.8,-1.0,False
TRADE,-1,2012-04-12 10:45:00,2012-04-12 11:00:00,1,,,1334216705038000000,1.3114,1.3114,1.3138699999999999,1.305225,24.7,STOP,1334226640051000000,1.31388,-24.8,-1.00405,False
TRADE,-1,2012-04-17 09:15:00,2012-04-17 11:00:00,1,,,1334643305257000000,1.31078,1.31078,1.31297,1.3053050000000002,21.9,STOP,1334647219037000000,1.31302,-22.4,-1.02283,False
TRADE,1,2012-04-18 14:45:00,2012-04-18 16:30:00,-1,,,1334749505072000000,1.30789,1.30789,1.3058500000000002,1.3129899999999997,20.4,STOP,1334753454474000000,1.30581,-20.8,-1.01961,False
TRADE,-1,2012-04-19 11:30:00,2012-04-19 12:15:00,1,,,1334824206409000000,1.31489,1.31489,1.31672,1.310315,18.3,TARGET,1334834702141000000,1.310315,45.75,2.5,False
TRADE,-1,2012-04-24 15:15:00,2012-04-25 12:00:00,1,,,1335269705149000000,1.31616,1.31616,1.3186499999999999,1.3099350000000003,24.9,STOP,1335273983354000000,1.31866,-25.0,-1.00402,False
TRADE,-1,2012-04-26 15:30:00,2012-04-26 23:00:00,1,,,1335443406248000000,1.32082,1.32082,1.32298,1.3154200000000003,21.6,STOP,1335449208423000000,1.32298,-21.6,-1.0,False
TRADE,-1,2012-04-26 16:15:00,2012-04-26 23:00:00,1,,,1335446105100000000,1.32082,1.32082,1.32331,1.3145950000000004,24.9,STOP,1335449244891000000,1.32331,-24.9,-1.0,False
TRADE,-1,2012-05-01 08:15:00,2012-05-01 16:00:00,1,,,1335849305331000000,1.32462,1.32462,1.32622,1.32062,16.0,STOP,1335857006320000000,1.32625,-16.3,-1.01875,False
TRADE,1,2012-05-10 10:15:00,2012-05-10 15:00:00,-1,,,1336634105748000000,1.29574,1.29574,1.2933199999999998,1.30179,24.2,STOP,1336643508977000000,1.2933,-24.4,-1.00826,False
TRADE,1,2012-05-17 08:45:00,2012-05-17 13:15:00,-1,,,1337233509561000000,1.27455,1.27455,1.2723900000000001,1.27995,21.6,STOP,1337237244500000000,1.27236,-21.9,-1.01389,False
