status,dir,orig_entry_time,orig_exit_time,orig_dir,t_stop_ns,stop_confirmed,entry_ts_ns,entry_ref_px,entry_fill_px,sl,tp,risk_pips,exit_type,exit_ts_ns,exit_px,net_pips,r,be_moved
TRADE,-1,2012-08-20 08:15:00,2012-08-20 12:00:00,1,1345454100049000000,False,1345454117874000000,1.23563,1.23563,1.23633,1.23388,7.0,STOP,1345454422837000000,1.23635,-7.2,-1.02857,False
TRADE,1,2012-08-28 08:15:00,2012-08-28 09:45:00,-1,1346137200084000000,False,1346137205239000000,1.24831,1.24831,1.24775,1.2497100000000003,5.6,STOP,1346137664238000000,1.24772,-5.9,-1.05357,False
TRADE,-1,2012-08-30 10:00:00,2012-08-30 16:15:00,1,1346333400618000000,False,1346333406453000000,1.25485,1.25485,1.25614,1.251625,12.9,TARGET,1346337487128000000,1.251625,32.25,2.5,True
TRADE,-1,2012-10-02 08:30:00,2012-10-02 08:45:00,1,1349157600484000000,False,1349157605797000000,1.2913,1.2913,1.29155,1.2906749999999998,2.5,TARGET,1349158060265000000,1.2906749999999998,6.25,2.5,True
SKIP_DAILY,,2012-10-03 08:15:00,2012-10-03 09:30:00,-1,1349246700296000000,,,,,,,,,,,,,
SKIP_DAILY,,2012-10-03 09:15:00,2012-10-03 09:15:00,-1,1349245800918000000,,,,,,,,,,,,,
TRADE,1,2012-10-11 08:00:00,2012-10-11 10:00:00,-1,1349939700390000000,False,1349939705633000000,1.28578,1.28578,1.28549,1.2865049999999996,2.9,TARGET,1349939878705000000,1.2865049999999996,7.25,2.5,True
TRADE,1,2012-10-15 08:15:00,2012-10-15 08:45:00,-1,1350280801456000000,False,1350280806907000000,1.29158,1.29158,1.2895,1.2967799999999996,20.8,TARGET,1350291386597000000,1.2967799999999996,52.0,2.5,True
SKIP_DAILY,,2012-10-18 10:45:00,2012-10-18 16:15:00,1,1350567000350000000,,,,,,,,,,,,,
SKIP_DAILY,,2012-10-18 11:15:00,2012-10-18 16:00:00,1,1350566100769000000,,,,,,,,,,,,,
TRADE,1,2012-10-22 09:15:00,2012-10-22 12:00:00,-1,1350897300089000000,False,1350897305528000000,1.30524,1.30524,1.30466,1.3066900000000001,5.8,STOP,1350898784151000000,1.30532,0.8,0.13793,True
INVALID_LEVELS,,2012-10-25 11:30:00,2012-10-25 12:45:00,1,1351159201820000000,,,,,,,,,,,,,
