entry_ts,exit_ts,side,reason,risk_pips,gross_pips,net_normal,net_stress,comp_ts,year
2010-04-22 08:00:00+00:00,2010-04-22 09:00:00+00:00,1,STOP,46.500000000000426,-46.500000000000426,-48.500000000000426,-50.500000000000426,2010-04-22 00:00:00+00:00,2010
2010-04-26 09:00:00+00:00,2010-04-26 21:00:00+00:00,-1,STOP,73.19999999999993,-73.19999999999993,-75.19999999999993,-77.19999999999993,2010-04-26 04:00:00+00:00,2010
2010-04-30 07:00:00+00:00,2010-04-30 19:00:00+00:00,1,TIME,67.29999999999903,20.100000000000673,18.100000000000673,16.100000000000673,2010-04-30 04:00:00+00:00,2010
2010-05-03 16:00:00+00:00,2010-05-04 04:00:00+00:00,-1,TIME,71.4999999999999,-19.299999999999873,-21.299999999999873,-23.299999999999873,2010-05-03 14:00:00+00:00,2010
2010-05-13 06:00:00+00:00,2010-05-13 08:00:00+00:00,1,STOP,60.499999999998884,-60.499999999998884,-62.499999999998884,-64.49999999999889,2010-05-13 04:00:00+00:00,2010
2010-06-01 07:00:00+00:00,2010-06-01 08:00:00+00:00,-1,TARGET,74.30000000000047,111.4499999999996,109.4499999999996,107.4499999999996,2010-06-01 02:00:00+00:00,2010
2010-06-04 12:00:00+00:00,2010-06-07 00:00:00+00:00,-1,TIME,164.49999999999852,121.2000000000013,119.2000000000013,117.2000000000013,2010-06-04 03:00:00+00:00,2010
2010-06-09 12:00:00+00:00,2010-06-10 00:00:00+00:00,1,TIME,77.89999999999964,-7.500000000000284,-9.500000000000284,-11.500000000000284,2010-06-09 05:00:00+00:00,2010
2010-06-11 12:00:00+00:00,2010-06-11 15:00:00+00:00,1,STOP,72.29999999999848,-72.29999999999848,-74.29999999999848,-76.29999999999848,2010-06-11 02:00:00+00:00,2010
2010-06-15 07:00:00+00:00,2010-06-15 10:00:00+00:00,-1,STOP,93.60000000000035,-93.60000000000035,-95.60000000000035,-97.60000000000035,2010-06-15 05:00:00+00:00,2010
2010-06-16 08:00:00+00:00,2010-06-16 20:00:00+00:00,-1,TIME,63.7999999999983,-16.099999999998893,-18.099999999998893,-20.099999999998893,2010-06-16 03:00:00+00:00,2010
2010-06-17 05:00:00+00:00,2010-06-17 08:00:00+00:00,-1,STOP,75.30000000000037,-75.30000000000037,-77.30000000000037,-79.30000000000037,2010-06-17 01:00:00+00:00,2010
