entry_i,entry,stop,atr_entry,d,sig_i,exit_i,exit,reason,gross_pips,net_pips,year
1409,111.488,111.11404558868215,0.3739544113178513,2020-03-24,1408,1414,111.11404558868215,stop,-37.39544113178539,-38.29544113178539,2020
1513,108.533,108.20946253004163,0.3235374699583654,2020-03-31,1512,1516,108.20946253004163,stop,-32.35374699583673,-33.25374699583673,2020
1575,107.946,107.68936383153542,0.2566361684645857,2020-04-02,1574,1623,109.106,time,115.99999999999966,115.09999999999965,2020
1790,107.847,107.68670016035942,0.16029983964057218,2020-04-15,1789,1791,107.416,stop,-43.09999999999974,-43.99999999999974,2020
1802,107.9,107.72655997741357,0.17344002258642915,2020-04-16,1801,1806,107.72655997741357,stop,-17.344002258643343,-18.24400225864334,2020
1910,107.856,107.72866360221117,0.12733639778881922,2020-04-22,1909,1913,107.72866360221117,stop,-12.733639778882377,-13.633639778882378,2020
1934,107.839,107.68862807690398,0.1503719230960223,2020-04-23,1933,1935,107.616,stop,-22.299999999999898,-23.199999999999896,2020
2041,106.796,106.66982581392035,0.12617418607965866,2020-04-30,2040,2042,106.66982581392035,stop,-12.617418607965192,-13.517418607965192,2020
2170,106.458,106.33781798335805,0.12018201664194773,2020-05-07,2169,2176,106.33781798335805,stop,-12.018201664194805,-12.918201664194806,2020
2197,106.675,106.55690470210033,0.11809529789967833,2020-05-08,2196,2198,106.55690470210033,stop,-11.809529789967144,-12.709529789967144,2020
2209,106.982,106.86088281707525,0.12111718292474428,2020-05-11,2208,2210,106.86088281707525,stop,-12.111718292474905,-13.011718292474905,2020
2298,107.266,107.14033906788984,0.1256609321101622,2020-05-14,2297,2310,107.14033906788984,stop,-12.566093211016494,-13.466093211016494,2020
2341,107.458,107.35810734993899,0.09989265006100898,2020-05-18,2340,2343,107.35810734993899,stop,-9.989265006100823,-10.889265006100823,2020
2359,107.52,107.41925114465025,0.10074885534975019,2020-05-19,2358,2360,107.41925114465025,stop,-10.074885534974953,-10.974885534974954,2020
2449,107.682,107.60322538797809,0.07877461202191492,2020-05-25,2448,2481,107.70766912572032,stop,2.566912572031299,1.666912572031299,2020
2510,107.776,107.66915811260232,0.10684188739767156,2020-05-27,2509,2513,107.66915811260232,stop,-10.68418873976782,-11.58418873976782,2020
2604,107.914,107.81877530315643,0.09522469684357449,2020-06-02,2603,2652,108.77543679663076,stop,86.14367966307555,85.24367966307554,2020
2665,109.06400000000001,108.93235061655753,0.13164938344248403,2020-06-05,2664,2688,109.51032414127748,stop,44.63241412774721,43.73241412774721,2020
2789,107.148,106.9796398637836,0.16836013621639642,2020-06-12,2788,2812,107.15484091849419,stop,0.6840918494191328,-0.21590815058086732,2020
2835,107.627,107.4797616917499,0.14723830825009446,2020-06-16,2834,2836,107.446,stop,-18.09999999999974,-18.999999999999737,2020
2955,107.175,107.07543196577876,0.0995680342212338,2020-06-23,2954,2960,107.07543196577876,stop,-9.956803422123528,-10.856803422123528,2020
3003,107.205,107.0892930932715,0.11570690672850974,2020-06-25,3002,3007,107.0892930932715,stop,-11.570690672850503,-12.470690672850504,2020
3050,107.278,107.18728812919835,0.09071187080165544,2020-06-29,3049,3051,107.168,stop,-10.999999999999943,-11.899999999999944,2020
3087,107.879,107.76007975898786,0.11892024101214278,2020-06-30,3086,3097,107.79336644618598,stop,-8.563355381402005,-9.463355381402005,2020
3169,107.669,107.62025159447542,0.04874840552457469,2020-07-06,3168,3174,107.62025159447542,stop,-4.8748405524577265,-5.774840552457727,2020
3202,107.744,107.6595399358552,0.0844600641448009,2020-07-07,3201,3204,107.6595399358552,stop,-8.446006414480678,-9.346006414480678,2020
3302,107.272,107.19764368376669,0.07435631623331718,2020-07-13,3301,3304,107.19764368376669,stop,-7.4356316233320285,-8.335631623332029,2020
3313,107.256,107.17645133924385,0.07954866075614296,2020-07-14,3312,3314,107.17645133924385,stop,-7.954866075614575,-8.854866075614575,2020
3378,107.31700000000001,107.21691878824261,0.10008121175739862,2020-07-16,3377,3388,107.21691878824261,stop,-10.00812117573986,-10.90812117573986,2020
3409,107.392,107.29766061019514,0.09433938980485168,2020-07-20,3408,3412,107.29766061019514,stop,-9.433938980485834,-10.333938980485835,2020
3606,105.286,105.15526999433008,0.13073000566992157,2020-07-30,3605,3607,105.15526999433008,stop,-13.073000566991766,-13.973000566991766,2020
3638,105.687,105.46700133011392,0.21999866988608557,2020-07-31,3637,3650,105.83011754067526,stop,14.311754067526294,13.411754067526294,2020
3755,105.67,105.56633484869424,0.1036651513057615,2020-08-07,3754,3756,105.56633484869424,stop,-10.366515130576204,-11.266515130576204,2020
3779,106.17,106.0670379467218,0.1029620532782048,2020-08-10,3778,3780,106.0670379467218,stop,-10.296205327820473,-11.196205327820474,2020
3799,106.176,106.07346926295335,0.10253073704664528,2020-08-11,3798,3800,106.07346926295335,stop,-10.253073704664928,-11.153073704664928,2020
3819,106.722,106.59716541726013,0.124834582739868,2020-08-12,3818,3840,106.68869293760571,stop,-3.3307062394285936,-4.230706239428594,2020
3859,106.926,106.80489204481799,0.12110795518201749,2020-08-13,3858,3870,106.80489204481799,stop,-12.1107955182012,-13.010795518201201,2020
3955,105.91,105.75579118159152,0.15420881840847203,2020-08-19,3954,3972,105.80489650280059,stop,-10.510349719940848,-11.410349719940848,2020
4033,106.003,105.92452133497142,0.07847866502858517,2020-08-25,4032,4034,105.924,stop,-7.899999999999352,-8.799999999999352,2020
4096,106.422,106.25275765742347,0.16924234257652748,2020-08-27,4095,4109,106.40136026731223,stop,-2.0639732687769197,-2.96397326877692,2020
4167,106.015,105.86550325761546,0.14949674238453706,2020-09-01,4166,4175,105.86550325761546,stop,-14.949674238454236,-15.849674238454236,2020
4185,106.2,106.08433619496016,0.11566380503984429,2020-09-02,4184,4214,106.21106776758727,stop,1.1067767587263688,0.2067767587263687,2020
4321,106.191,106.10804705814257,0.08295294185742677,2020-09-10,4320,4323,106.10804705814257,stop,-8.295294185742819,-9.195294185742819,2020
4502,104.605,104.44392119957473,0.16107880042526837,2020-09-21,4501,4514,104.4659853247927,stop,-13.901467520730648,-14.801467520730649,2020
4527,104.988,104.84368512569085,0.14431487430914133,2020-09-22,4526,4575,105.419,time,43.09999999999974,42.19999999999974,2020
4585,105.52,105.4318259067536,0.08817409324639877,2020-09-25,4584,4587,105.4318259067536,stop,-8.817409324639414,-9.717409324639414,2020
4639,105.665,105.57437087894701,0.0906291210529971,2020-09-29,4638,4640,105.56,stop,-10.500000000000398,-11.400000000000398,2020
4657,105.802,105.71674611986373,0.085253880136284,2020-09-30,4656,4658,105.692,stop,-11.000000000001364,-11.900000000001365,2020
4737,105.646,105.55950066409957,0.08649933590043171,2020-10-05,4736,4741,105.55950066409957,stop,-8.649933590042735,-9.549933590042736,2020
4782,105.757,105.6890837974839,0.0679162025161075,2020-10-07,4781,4824,105.91562283643665,stop,15.86228364366491,14.96228364366491,2020
4969,105.389,105.3223107477421,0.06668925225790395,2020-10-19,4968,4978,105.3223107477421,stop,-6.66892522579019,-7.56892522579019,2020
4993,105.56400000000001,105.49326895872693,0.07073104127307545,2020-10-20,4992,5000,105.49326895872693,stop,-7.073104127307772,-7.9731041273077725,2020
5093,104.906,104.83015735968222,0.07584264031779209,2020-10-26,5092,5095,104.83015735968222,stop,-7.584264031778787,-8.484264031778787,2020
5176,104.69500000000001,104.57404171837412,0.12095828162589428,2020-10-29,5175,5183,104.57404171837412,stop,-12.095828162588873,-12.995828162588873,2020
5200,104.561,104.42607828082303,0.13492171917696932,2020-10-30,5199,5220,104.66044759690928,stop,9.944759690927185,9.044759690927185,2020
