mode,entry_time,exit_time,dir,level,lot,entry,sl0,tp,sl_dist,exit,reason,pnl,r_mult,balance_after,be_moved
historical,2010-01-19 09:15:00,2010-01-19 11:00:00,-1,0,0.5,1.43931,1.44128,1.4343850000000007,0.0019699999999998052,1.4343850000000007,tp,246.2499999999701,2.4999999999999436,10246.24999999997,True
historical,2010-02-16 11:30:00,2010-02-16 13:30:00,1,0,0.44,1.36599,1.36368,1.3717650000000001,0.0023100000000000342,1.36368,sl,-101.64000000000152,-1.0,10144.60999999997,False
historical,2010-03-10 08:00:00,2010-03-10 12:30:00,-1,0,0.47,1.35826,1.3604,1.35291,0.0021400000000000308,1.3604,sl,-100.58000000000143,-1.0,10044.029999999968,False
historical,2010-03-11 09:30:00,2010-03-11 14:30:00,1,0,0.26,1.36423,1.36232,1.3690050000000002,0.0019100000000000783,1.36433,sl,2.599999999999714,0.052356020942400466,10046.629999999968,True
historical,2010-03-16 08:00:00,2010-03-16 11:00:00,-1,0,0.56,1.36831,1.37009,1.3638599999999996,0.0017800000000001148,1.37009,sl,-99.68000000000643,-1.0,9946.949999999963,False
historical,2010-04-05 08:00:00,2010-04-05 15:00:00,-1,0,0.51,1.34992,1.35186,1.3450699999999998,0.0019400000000000528,1.34982,sl,5.099999999999438,0.05154639175257024,9952.049999999961,True
historical,2010-09-01 10:00:00,2010-09-01 11:15:00,1,0,0.47,1.27198,1.26987,1.2772550000000003,0.0021100000000000563,1.2772550000000003,tp,247.9250000000066,2.5000000000000004,10199.974999999968,True
historical,2010-09-06 15:00:00,2010-09-07 01:00:00,1,0,0.5,1.28848,1.28646,1.2935300000000005,0.002020000000000133,1.28646,sl,-101.00000000000664,-1.0,10098.97499999996,False
historical,2010-09-20 08:45:00,2010-09-20 13:45:00,1,0,0.5,1.3085,1.3065,1.3135,0.0020000000000000018,1.3086,sl,4.999999999999449,0.04999999999999445,10103.97499999996,True
historical,2010-12-22 09:00:00,2010-12-22 09:00:00,-1,0,0.56,1.31278,1.31457,1.3083050000000003,0.0017899999999999583,1.31457,sl,-100.23999999999766,-1.0,10003.734999999962,False
