entry_i,exit_i,exit_px,reason,sig_i,entry_fill,gross_pips,net_pips,r_mult,stop_pips
40,40,108.34630208905998,stop,39,108.263,-7.430208905996949,-8.33020890599695,-0.999999999999999,8.330208905996958
50,79,108.1498412466596,stop,49,108.191,5.015875334039777,4.115875334039776,0.39977034656002414,10.29559938463768
120,121,108.12577676785575,stop,119,107.987,-12.977676785575909,-13.87767678557591,-1.0000000000000158,13.87767678557569
255,272,110.01024312102328,stop,254,109.927,-7.424312102327235,-8.324312102327236,-0.9999999999999751,8.324312102327443
337,337,109.94462492605096,stop,336,109.891,-4.462492605095747,-5.362492605095747,-1.0000000000000835,5.3624926050953
361,382,109.5313314706528,stop,360,109.661,13.866852934719986,12.966852934719986,1.7701214243294612,7.32540308054401
402,412,109.11009280916856,stop,401,109.31,20.89071908314395,19.99071908314395,2.2554393075815855,8.863337184887131
442,444,108.9208199125313,stop,441,108.815,-9.681991253130207,-10.581991253130207,-0.9999999999999318,10.581991253130928
481,501,108.98322247125088,stop,480,108.959,-1.522247125087972,-2.422247125087972,-0.2410421627712779,10.049059870850952
520,520,108.51668732025453,stop,519,108.391,-11.668732025452755,-12.568732025452755,-0.9999999999999899,12.568732025452883
634,636,109.85796607736516,stop,633,109.773,-7.596607736516603,-8.496607736516603,-1.0000000000000453,8.49660773651622
727,747,109.88247056162382,stop,726,109.803,-7.047056162382148,-7.9470561623821485,-1.000000000000052,7.947056162381736
793,805,109.7995724537559,stop,792,109.747,-4.357245375589969,-5.257245375589969,-0.9999999999999463,5.2572453755902515
891,891,111.57897150547609,stop,890,111.448,-12.19715054760968,-13.097150547609681,-1.0000000000000369,13.097150547609198
928,936,110.32113385690405,stop,927,110.126,-18.613385690404982,-19.51338569040498,-0.9999999999999768,19.513385690405432
965,967,110.17404553180481,stop,964,110.002,-16.304553180481207,-17.204553180481206,-0.9999999999999866,17.204553180481437
987,1015,108.35539929002577,stop,986,109.292,94.56007099742294,93.66007099742293,4.278594897110698,21.890380662275568
1024,1028,108.2122274632559,stop,1023,107.904,-29.92274632559031,-30.82274632559031,-0.9999999999999849,30.822746325590778
1048,1063,107.56470952121497,stop,1047,107.529,-2.670952121496839,-3.570952121496839,-0.11768903552968582,30.342266851155426
1090,1138,102.351,time,1089,106.935,459.30000000000035,458.4000000000004,25.246085238894047,18.157270549565865
1202,1204,103.96704140571077,stop,1201,103.478,-48.00414057107787,-48.90414057107787,-1.0000000000000127,48.90414057107725
1441,1489,107.28,time,1440,110.738,346.6999999999999,345.7999999999999,12.592746485721236,27.460252645608197
1537,1538,107.77887986499869,stop,1536,107.481,-28.8879864998691,-29.7879864998691,-1.0000000000000215,29.787986499868463
1656,1657,108.82624737306527,stop,1655,108.663,-15.424737306527447,-16.324737306527446,-0.9999999999999994,16.324737306527453
