entry_i,exit_i,exit_px,reason,sig_i,entry_fill,gross_pips,net_pips,r_mult,stop_pips
37,37,108.75256216095559,stop,36,108.795,-3.343783904441011,-4.2437839044410115,-1.0000000000001044,4.243783904440568
132,180,109.636,time,131,108.729,91.59999999999968,90.69999999999968,5.268924896729526,17.214137946110803
182,182,109.58293325334712,stop,181,109.658,-6.606674665287926,-7.506674665287926,-0.9999999999999102,7.506674665288601
218,223,109.9937760434196,stop,217,110.075,-7.2223956580401705,-8.12239565804017,-0.9999999999999424,8.122395658040638
278,279,109.95735357857012,stop,277,110.021,-5.464642142987941,-6.364642142987941,-1.0000000000001008,6.3646421429873
295,296,110.18738483333712,stop,294,110.251,-5.461516666288446,-6.361516666288447,-1.0000000000000406,6.361516666288189
449,463,109.05980643899846,stop,448,109.175,-10.619356100153254,-11.519356100153255,-0.9999999999999818,11.519356100153464
506,513,108.93597323596681,stop,505,109.062,-11.702676403318435,-12.602676403318435,-0.999999999999983,12.602676403318648
559,607,109.909,time,558,108.922,99.60000000000093,98.70000000000093,8.639060755477939,11.424853093829244
610,633,109.78572498082025,stop,609,109.857,-6.227501917975076,-7.127501917975076,-0.769909411539316,9.257585127742141
678,681,109.83716009246731,stop,677,109.904,-5.783990753268142,-6.683990753268143,-0.9999999999999485,6.683990753268487
706,719,109.91782906342085,stop,705,110.0,-7.317093657914597,-8.217093657914598,-1.0000000000000389,8.217093657914278
784,789,109.90067193373756,stop,783,109.949,-3.9328066262442007,-4.832806626244201,-0.9999999999999526,4.83280662624443
1161,1164,103.89990727805882,stop,1160,104.481,-57.20927219411749,-58.10927219411749,-0.9999999999999908,58.10927219411802
1218,1220,104.80202831537986,stop,1217,105.391,-57.99716846201477,-58.89716846201477,-1.0000000000000053,58.897168462014456
1293,1294,107.283360212642,stop,1292,107.7,-40.76397873580078,-41.663978735800775,-0.9999999999999927,41.66397873580108
1311,1345,110.13485646473181,stop,1310,108.083,206.08564647318133,205.18564647318132,5.725771744842201,35.83545688107693
1519,1525,108.05724328951582,stop,1518,108.364,-29.775671048417962,-30.67567104841796,-0.9999999999999767,30.67567104841868
1583,1584,107.90880035681313,stop,1582,108.138,-22.019964318687357,-22.919964318687356,-1.0000000000000002,22.919964318687352
1593,1633,108.8647393150015,stop,1592,108.271,60.27393150015001,59.373931500150015,2.808551754200911,21.140408543777426
1804,1806,107.80289100093313,stop,1803,107.972,-16.010899906686404,-16.910899906686403,-0.9999999999999678,16.910899906686947
2055,2071,107.01539388810201,stop,2054,106.931,9.339388810201399,8.439388810201399,0.4707521258665018,17.927457671417255
2171,2175,106.39840241311819,stop,2170,106.522,-11.45975868818141,-12.35975868818141,-1.000000000000049,12.359758688180804
2203,2235,107.38758069115957,stop,2202,106.675,72.15806911595735,71.25806911595734,5.674592262603336,12.557390173310221
2304,2305,107.24642476056191,stop,2303,107.363,-10.757523943809133,-11.657523943809133,-1.0000000000000102,11.657523943809014
2342,2342,107.38674253922906,stop,2341,107.492,-9.625746077094277,-10.525746077094277,-1.0000000000000577,10.52574607709367
2362,2371,107.70445566871136,stop,2361,107.563,15.045566871135918,14.145566871135918,1.243844332460267,11.37245755114439
2647,2649,108.93854454913215,stop,2646,109.053,-10.545545086785069,-11.445545086785069,-0.999999999999999,11.44554508678508
