date,side,entry,stop,target,exit,reason,risk_pips,gross_pips,net_normal_pips,net_stress_pips,year
2010-01-01,LONG,1.43327,1.43346,1.43258,1.43258,TARGET,1.8999999999991246,6.900000000000794,4.900000000000794,2.9000000000007944,2010
2010-01-04,LONG,1.43054,1.43255,1.42879,1.43255,STOP,20.100000000000673,-20.100000000000673,-22.100000000000673,-24.100000000000673,2010
2010-01-06,LONG,1.43654,1.43825,1.432855,1.43825,STOP,17.100000000001003,-17.100000000001003,-19.100000000001003,-21.100000000001003,2010
2010-01-08,LONG,1.4323,1.43336,1.43052,1.43336,STOP,10.600000000000609,-10.600000000000609,-12.600000000000609,-14.600000000000609,2010
2010-01-11,LONG,1.45277,1.45346,1.44962,1.45346,STOP,6.900000000000794,-6.900000000000794,-8.900000000000794,-10.900000000000794,2010
2010-01-13,LONG,1.45022,1.45153,1.447985,1.45153,STOP,13.099999999999223,-13.099999999999223,-15.099999999999223,-17.099999999999223,2010
2010-01-14,SHORT,1.45235,1.45097,1.453675,1.45097,STOP,13.799999999999368,-13.799999999999368,-15.799999999999368,-17.79999999999937,2010
2010-01-15,SHORT,1.44027,1.43759,1.44529,1.43759,STOP,26.800000000000157,-26.800000000000157,-28.800000000000157,-30.800000000000157,2010
2010-01-21,SHORT,1.40663,1.40561,1.41002,1.40561,STOP,10.200000000000209,-10.200000000000209,-12.200000000000209,-14.200000000000209,2010
2010-01-22,LONG,1.41375,1.4152,1.41128,1.4152,STOP,14.499999999999513,-14.499999999999513,-16.499999999999513,-18.499999999999513,2010
2010-01-25,SHORT,1.41318,1.41248,1.4152,1.4152,TARGET,7.0000000000014495,20.199999999999108,18.199999999999108,16.199999999999108,2010
2010-01-28,LONG,1.40346,1.40516,1.399565,1.399565,TARGET,17.000000000000348,38.94999999999982,36.94999999999982,34.94999999999982,2010
2010-01-29,LONG,1.39667,1.39753,1.39388,1.39753,STOP,8.599999999998609,-8.599999999998609,-10.599999999998609,-12.599999999998609,2010
2010-02-01,LONG,1.38915,1.39041,1.38724,1.39041,STOP,12.599999999998168,-12.599999999998168,-14.599999999998168,-16.599999999998168,2010
2010-02-02,LONG,1.39325,1.39407,1.390975,1.39407,STOP,8.199999999998209,-8.199999999998209,-10.199999999998209,-12.199999999998209,2010
2010-02-05,SHORT,1.36705,1.36464,1.370705,1.370705,TARGET,24.100000000000232,36.549999999999635,34.549999999999635,32.549999999999635,2010
2010-02-08,LONG,1.36679,1.36798,1.36428,1.36798,STOP,11.900000000000244,-11.900000000000244,-13.900000000000244,-15.900000000000244,2010
2010-02-09,LONG,1.37254,1.37358,1.3687,1.37358,STOP,10.399999999999299,-10.399999999999299,-12.399999999999299,-14.399999999999299,2010
2010-02-11,SHORT,1.37488,1.37374,1.3771200000000001,1.37374,STOP,11.400000000001409,-11.400000000001409,-13.400000000001409,-15.400000000001409,2010
2010-02-16,LONG,1.36627,1.36825,1.36249,1.36825,STOP,19.799999999998708,-19.799999999998708,-21.799999999998708,-23.799999999998708,2010
2010-02-17,LONG,1.37816,1.37892,1.3764750000000001,1.3764750000000001,TARGET,7.599999999998719,16.849999999999365,14.849999999999365,12.849999999999365,2010
2010-02-18,SHORT,1.35598,1.35403,1.358305,1.35403,STOP,19.499999999998963,-19.499999999998963,-21.499999999998963,-23.499999999998963,2010
2010-02-19,LONG,1.34978,1.35124,1.34801,1.35124,STOP,14.600000000000168,-14.600000000000168,-16.60000000000017,-18.60000000000017,2010
2010-02-22,SHORT,1.36151,1.36056,1.363305,1.36056,STOP,9.500000000000064,-9.500000000000064,-11.500000000000064,-13.500000000000064,2010
2010-02-24,LONG,1.35488,1.35638,1.3525049999999998,1.35638,STOP,14.999999999998348,-14.999999999998348,-16.999999999998348,-18.999999999998348,2010
2010-02-26,LONG,1.35935,1.36112,1.3567049999999998,1.36112,STOP,17.700000000000493,-17.700000000000493,-19.700000000000493,-21.700000000000493,2010
