month,n_ticks,first_tick_utc,last_tick_utc,days_covered
2015-03,2218340,2015-03-01T22:00:19.053000+00:00,2015-03-31T23:59:59.435000+00:00,27
2015-04,2296365,2015-04-01T00:00:00.253000+00:00,2015-04-30T23:59:55.815000+00:00,26
2015-05,2143097,2015-05-01T00:00:00.126000+00:00,2015-05-31T23:59:58.499000+00:00,26
2015-06,2278998,2015-06-01T00:00:01.113000+00:00,2015-06-30T23:59:55.188000+00:00,26
2015-07,2079650,2015-07-01T00:00:00.050000+00:00,2015-07-31T20:59:56.386000+00:00,27
2015-08,1955166,2015-08-02T21:00:02.433000+00:00,2015-08-31T23:59:53.902000+00:00,26
2015-09,2010624,2015-09-01T00:00:00.016000+00:00,2015-09-30T23:59:58.242000+00:00,26
2015-10,1866264,2015-10-01T00:00:02.087000+00:00,2015-10-30T20:59:58.053000+00:00,26
2015-11,1779331,2015-11-01T22:00:00.227000+00:00,2015-11-30T23:59:51.362000+00:00,26
2015-12,1955359,2015-12-01T00:00:00.187000+00:00,2015-12-31T21:59:51.734000+00:00,27
2016-01,2203624,2016-01-03T22:00:01.446000+00:00,2016-01-31T23:59:59.429000+00:00,25
2016-02,2906011,2016-02-01T00:00:00.728000+00:00,2016-02-29T23:59:58.926000+00:00,25
2016-03,2673080,2016-03-01T00:00:00.290000+00:00,2016-03-31T23:59:51.216000+00:00,27
2016-04,1954992,2016-04-01T00:00:00.220000+00:00,2016-04-29T20:59:13.205000+00:00,25
2016-05,1822524,2016-05-01T21:00:11.829000+00:00,2016-05-31T23:59:59.744000+00:00,27
2016-06,2254375,2016-06-01T00:00:00.402000+00:00,2016-06-30T23:59:59.903000+00:00,26
2016-07,4201709,2016-07-01T00:00:00.259000+00:00,2016-07-31T23:59:59.851000+00:00,26
2016-08,7691127,2016-08-01T00:00:00.108000+00:00,2016-08-31T23:59:58.926000+00:00,27
2016-09,8956960,2016-09-01T00:00:00.077000+00:00,2016-09-30T20:59:59.046000+00:00,26
2016-10,6039068,2016-10-02T21:00:05.470000+00:00,2016-10-31T23:59:42.479000+00:00,26
2016-11,2217336,2016-11-01T00:00:00.049000+00:00,2016-11-30T23:59:58.644000+00:00,26
2016-12,1904955,2016-12-01T00:00:00.156000+00:00,2016-12-30T21:59:56.230000+00:00,26
2017-01,2188007,2017-01-01T22:00:20.786000+00:00,2017-01-31T23:59:53.808000+00:00,27
2017-02,1717211,2017-02-01T00:00:00.623000+00:00,2017-02-28T23:59:55.547000+00:00,24
2017-03,1958022,2017-03-01T00:00:00.241000+00:00,2017-03-31T20:59:56.707000+00:00,27
2017-04,1298295,2017-04-02T21:00:34.289000+00:00,2017-04-30T23:59:03.898000+00:00,25
2017-05,1677133,2017-05-01T00:00:02.851000+00:00,2017-05-31T23:59:59.724000+00:00,27
2017-06,1729147,2017-06-01T00:00:00.132000+00:00,2017-06-30T20:59:56.643000+00:00,26
2017-07,1854513,2017-07-02T21:00:14.575000+00:00,2017-07-31T23:59:59.959000+00:00,26
2017-08,2082167,2017-08-01T00:00:00.470000+00:00,2017-08-31T23:59:59.099000+00:00,27
2017-09,2075625,2017-09-01T00:00:00.191000+00:00,2017-09-29T20:59:56.618000+00:00,25
2017-10,1795739,2017-10-01T21:00:06.101000+00:00,2017-10-31T23:59:12.569000+00:00,27
2017-11,1698014,2017-11-01T00:00:00.357000+00:00,2017-11-30T23:59:55.097000+00:00,26
2017-12,1595528,2017-12-01T00:00:00.175000+00:00,2017-12-29T21:59:42.990000+00:00,25
2018-01,2305384,2018-01-01T22:00:08.661000+00:00,2018-01-31T23:59:47.019000+00:00,27
2018-02,2303292,2018-02-01T00:00:00.061000+00:00,2018-02-28T23:59:58.929000+00:00,24
2018-03,2118104,2018-03-01T00:00:00.185000+00:00,2018-03-30T20:59:55.773000+00:00,26
2018-04,1901402,2018-04-01T21:00:18.456000+00:00,2018-04-30T23:59:59.599000+00:00,26
2018-05,2353105,2018-05-01T00:00:00.129000+00:00,2018-05-31T23:59:59.903000+00:00,27
2018-06,474506,2018-06-04T00:00:00.485000+00:00,2018-06-08T20:59:56.794000+00:00,5
2018-07,2133821,2018-07-01T21:00:16.014000+00:00,2018-07-31T23:59:57.465000+00:00,27
2018-08,2102825,2018-08-01T00:00:00.042000+00:00,2018-08-31T20:59:57.280000+00:00,27
2018-09,1728616,2018-09-02T21:00:04.803000+00:00,2018-09-30T23:59:59.225000+00:00,25
2018-10,2209121,2018-10-01T00:00:00.205000+00:00,2018-10-31T23:59:59.448000+00:00,27
2018-11,2173445,2018-11-01T00:00:00.222000+00:00,2018-11-30T21:59:55.708000+00:00,26
2018-12,2538134,2018-12-02T22:00:01.940000+00:00,2018-12-31T22:00:03.048000+00:00,26
